appid,author,link,published,source,summary,title
570,editor@pcgamesn.com,https://steamstore-a.akamaihd.net/news/externalpost/PCGamesN/1815580768422774,1762868535,Steam News API,"<img width=""900"" height=""507"" src=""https://www.pcgamesn.com/wp-content/sites/pcgamesn/2025/11/dota-2-monster-hunter-collab-900x506.jpg""/><p><strong>Dota 2</strong> used to be an absolute fiend for a good crossover. From Final Fantasy to Fallout, Deus Ex to Darkest Dungeon, Valve's hit <a href=""https://www.pcgamesn.com/which-best-moba"">MOBA</a> has been inundated with cosmetic goods and iconic anno","I never thought I'd see Dota 2 and Monster Hunter in the same sentence, but the MOBA's biggest collab ever just dropped out of nowhere"
570,Unicorn Princess,https://steamstore-a.akamaihd.net/news/externalpost/steam_community_announcements/1815580768403675,1762812389,Steam News API,"[img src=""{STEAM_CLAN_IMAGE}/3703047/98be0d0a60eca8edbad91ec0050918f83ea462e2.png""][/img]

[p]It's open season on the world's most dangerous heroes, and you're just the hero we need to track them all down. We're happy to announce a massive Dota/[url=""https://store.steampowered.com/curator/34827959""]Monster Hunter[/url] crossover with new sets, new pets, a new in-game hunt and crafting system, and ",Dota x Monster Hunter
570,flynnch,https://steamstore-a.akamaihd.net/news/externalpost/steam_community_announcements/1813041031215262,1760033899,Steam News API,"[p]Since the 7.39e gameplay patch, we've addressed the following issues:[/p][list][*][p]Items on trade cooldown can no longer be listed on the Steam Market[/p][list][*][p]Removed separate ""Market Cooldown"" timer from item tooltips as it is no longer relevant[/p][/*][/list][/*][*][p]Fixed people being able to find the server id of non-friends playing matches[/p][/*][*][p]Fixed relic progress displa",Dota 2 Update - 10/09/2025
570,krAnk0r,https://steamstore-a.akamaihd.net/news/externalpost/steam_community_announcements/1811772772650175,1759874536,Steam News API,"[p][img src=""{STEAM_CLAN_IMAGE}/3703047/2868642fce62093c54a753c9471cd72bc0926ae5.png""][/img][/p][p][/p][p]No matter what else is happening in the world of Dota, the Community Workshop artists never stop dreaming up cool new item sets for all their favorite heroes. Which of course means the workshop is near-to-bursting with game-worthy sets, and — you guessed it by cleverly reading the title above ",Collector's Cache Voting Open Now
570,Dota Workshop,https://steamstore-a.akamaihd.net/news/externalpost/steam_community_announcements/1811772772489146,1759443858,Steam News API,"[p]Patch 7.39e is out now and you can check out the patch notes [url=""https://www.dota2.com/patches/7.39e""]here[/url].
[/p]",7.39e Gameplay Patch
570,krAnk0r,https://steamstore-a.akamaihd.net/news/externalpost/steam_community_announcements/1811138915339274,1758062560,Steam News API,"[img]{STEAM_CLAN_IMAGE}/3703047/4ba13ce440c2d97294b14560cfcf46a3f1b113be.png[/img]Congratulations to Team Falcons, Grand Champions at The International 2025. After a year of mixed results, Team Falcons finally soared to the Aegis of Champions in Hamburg — by clawing, scrapping, and grinding through one of the grittiest marathons The International has ever seen. Of their ten series, only three were",The International 2025 Grand Champions
570,editor@pcgamesn.com,https://steamstore-a.akamaihd.net/news/externalpost/PCGamesN/1810503566424750,1757614506,Steam News API,"<img width=""900"" height=""507"" src=""https://www.pcgamesn.com/wp-content/sites/pcgamesn/2025/09/dota-2-gabe-newell-the-international-2025-ti-speech-plays-every-day-flamed-900x506.jpg""/><p>I consider myself pretty good at <a href=""https://www.pcgamesn.com/which-best-moba"">MOBAs</a>. While my primary choice will always be League of Legends, I've played (and lost) a few <strong>Dota 2</strong> games in","People ""talk s**t"" to Gabe Newell when he plays Dota 2, but he's okay with it"
570,Andy Chalk,https://steamstore-a.akamaihd.net/news/externalpost/PC Gamer/1810503566424289,1757613488,Steam News API,"<img src=""https://cdn.mos.cms.futurecdn.net/tqTxvKqPKWAFUekQa2Qw8W-1280-80.jpg""/><br><br>
                The finals of The International 2025, the annual <a href=""https://www.pcgamer.com/dota-2/"">Dota 2</a> world championship tournament, are now underway, and to get things started on the right foot Valve boss Gabe Newell shared a special message with fans: After all these years he still loves the",Gabe Newell waxes poetic about his love for the Dota 2 community in a special message for The International: 'People talk s**t at me in chat' and tell him to uninstall the game on a weekly basis
730,COMPLEX,https://steamstore-a.akamaihd.net/news/externalpost/steam_community_announcements/1816215235365196,1762988337,Steam News API,"[p]\[ MAJOR ][/p][list][*][p]The StarLadder Budapest Major Hub is now available. Visit the hub to purchase tournament items, play the Pick'Em Challenge and more.[/p][/*][*][p]Purchase a Budapest 2025 Viewer Pass to receive an upgradable Budapest 2025 Coin. With an active pass, you can upgrade your coin and earn extra souvenir packages by playing the Pick'Em Challenge. Additionally, you will show u",Counter-Strike 2 Update
730,gautam,https://steamstore-a.akamaihd.net/news/externalpost/steam_community_announcements/1816215235365195,1762988293,Steam News API,"[p]As 2025 comes to an end, the [url=""https://major.starladder.com/en/news/starladder-to-host-2025-cs2-major-in-budapest-s-20-000-seat-mvm-dome""]StarLadder Budpest Major 2025[/url] is set to begin. Join us as the first stage begins on Monday, November 24th![/p][p][/p][p]All three stages of the StarLadder Budapest Major will be played in front of live crowds at MTK Sportpark, and for the first time",The Starladder Budapest Major 2025
